  No    Ref    V       B-V     U-B
 1324   558  16.762   0.763   0.226
 1325   558  18.518   0.710   0.202
 1326   558  17.074   0.771   0.186
 1327   558  18.460   0.967   0.619
 1328   558  19.179   0.715   0.315
 1329   558  19.558   0.545   0.119
 1330   558  17.329   0.804   0.268
 1331   558  18.416   0.764   0.178
 1332   558  17.980   0.606   0.024
 1333   558  17.519   0.964   0.703
 1334   558  19.026   0.359  -0.088
 1335   558  18.112   0.749   0.200
 1336   558  16.134   0.724   0.207
 1337   558  18.755   0.698   0.251
 1338   558  17.326   0.946   0.661
 1339   558  16.437   0.850   0.401
 1340   558  18.035   0.649   0.029
 1341   558  18.524   0.904   0.628
 1342   558  18.390   1.044   0.369
 1343   558  16.240   0.865   0.599
 1344   558  19.074   0.825   0.205
 1345   558  17.239   0.786   0.211
 1346   558  17.723   1.058   0.618
 1347   558  18.093   0.687   0.106
 1348   558  17.176   1.078   0.935
 1349   558  16.587   1.034   0.682
 1350   558  19.270   0.596   0.125
 1351   558  18.781   0.816   0.334
 1352   558  18.714   0.820   0.124
 1353   558  18.035   0.748   0.439
 1354   558  17.637   0.753   0.203
 1355   558  17.539   1.036   0.964
 1356   558  16.758   0.720   0.176
 1357   558  16.232   0.860   0.485
 1358   558  17.281   1.250   1.257
 1359   558  16.452   0.658   0.025
 1360   558  16.646   1.165   1.145
 1361   558  18.024   0.740   0.211
 1362   558  11.092   0.278   0.135
 1363   558  17.012   0.646  -0.025
 1364   558  16.407   0.764   0.249
 1365   558  13.838   0.499   0.047
 1366   558  16.017   0.813   0.435
 1367   558  15.618   0.714   0.208
 1368   558  18.580   0.962   0.577
 1369   558  16.261   0.946   0.502
 1370   558  15.716   0.588  -0.070
 1371   558  17.248   0.696   0.121
 1372   558  18.259   0.775  -0.049
 1373   558  16.669   1.106   0.940
 1374   558  16.497   0.793   0.361
 1375   558  16.155   0.711   0.183
 1376   558  17.138   0.881   0.509
 1377   558  17.793   1.060   0.840
 1378   558  15.878   0.893   0.435
 1379   558  17.305   1.127   1.110
 1380   558  15.767   0.636   0.138
 1381   558  15.514   1.044   0.757
 1382   558  18.222   0.918   0.731
 1383   558  17.706   0.711   0.181
 1384   558  18.608   0.812   0.183
 1385   558  18.570   0.992   0.803
 1386   558  18.942   0.801   0.689
 1387   558  18.607   0.783   0.176
 1388   558  16.724   0.690   0.142
 1389   558  17.691   0.700   0.235
 1390   558  18.906   0.880   0.232
 1391   558  16.319   0.852   0.526
 1392   558  16.254   0.870   0.504
 1393   558  17.941   0.613   0.091
 1394   558  17.058   0.767   0.291
 1395   558  17.117   0.705   0.140
 1396   558  17.959   1.027   0.818
 1397   558  19.045   0.974   0.464
 1398   558  17.156   0.785   0.235
 1399   558  17.708   0.712   0.123
 1400   558  18.494   0.890   0.464
 1401   558  17.088   0.741   0.181
 1402   558  17.585   0.921   0.666
 1403   558  18.784   0.879   0.872
 1404   558  17.820   0.799   0.270
 1405   558  16.271   1.096   1.056
 1406   558  16.566   0.702   0.255
 1407   558  19.591   0.417   0.530
 1408   558  16.310   0.884   0.573
 1409   558  16.060   0.749   0.221
 1410   558  18.465   0.819   0.409
 1411   558  18.014   0.729   0.039
 1412   558  17.701   0.754   0.308
 1413   558  16.916   0.716   0.211
 1414   558  16.912   1.253   1.198
 1415   558  15.877   1.008   0.766
 1416   558  16.999   0.618   0.069
 1417   558  18.185   0.848   0.370
 1418   558  18.411   0.844   0.314
 1419   558  19.036   0.646   0.235
 1420   558  18.020   0.697   0.110
 1421   558  19.174   0.739   0.515
 1422   558  18.320   0.733   0.248
 1423   558  16.962   0.548   0.065
 1424   558  18.022   0.732   0.198
 1425   558  16.022   0.700   0.162
 1426   558  17.419   1.466   1.213
 1427   558  17.054   1.278   1.352
 1428   558  17.104   0.961   0.570
 1429   558  18.946   0.580  -0.043
 1430   558  17.623   0.835   0.366
 1431   558  18.932   0.749   0.159
 1432   558  17.812   0.577  -0.034
 1433   558  17.174   0.988   0.860
 1434   558  18.811   0.819   0.387
 1435   558  19.211   0.663  -0.223
 1436   558  18.946   0.819   0.398
 1437   558  15.349   0.675   0.181
 1438   558  18.772   0.580  -0.074
 1439   558  15.900   0.900   0.669
 1440   558  15.274   0.666   0.139
 1441   558  15.962   0.698   0.135
